n,time_ms
10,0.2863
20,0.3627
25,0.399
40,0.522
50,0.6045
75,0.8176
80,0.8521
100,1.0349
200,2.035
250,2.5814
400,4.3287
500,6.0485
750,10.7983
800,11.4096
1000,16.4399
2000,46.2078
2500,70.7847
4000,163.3005
5000,270.2189
7500,459.111
8000,599.967
10000,803.979
20000,3661.0046
25000,4936.8119
40000,12999.9401
50000,23054.6659
75000,111629.8993
80000,162055.0705
100000,403986.6221
